message	domain
Tell me about all trains from maihar, mp to harrad, mp on 29th september	travel
Hyderabad to Goa 20-9-2016 Tim am price	travel
Trains are working??	travel
Cafe in thane?	food
He did but something went wrong in the installation and the geyser isn't working now. He said that we need to call the services to get it looked at	support
i want to buy a memory card can you help?	shopping
hii pooja	travel
Can u just tell me the features of new iphone 7 ??	shopping
What is train running status of train no 19322	travel
Equbal hotel	travel
Also remind me that exams are approaching in this same reminder	reminders
want more models	shopping
Any coupon codes available for dominos??	food
Book my tickets	travel
Any phone bill offer	recharge
Menu of Royal Indian hotel	food
Any Ireland or Dublin packages available via haptik?	travel
Find me the cheapest flight ticket for Kerala on 28th Nov	travel
Hey can u check my flights on time	travel
or Samsung j2mein	shopping
Gift shop	shopping
How much distance from railway junction to candolim beach	travel
Help me with mumbai hotels with infinity pool	travel
Show me shoes	shopping
In row J	movies
Water filter	support
Andhara bank near me	nearby
how far is restaurant from here	food
Earphone in 1000 range	shopping
Sbi ATM	nearby
Mobile phone under 200000	shopping
Epson tank printer	shopping
apple store near by	nearby
Ags theatre running cinemas??	movies
I want to buy a maruti eeco	shopping
Hi Pooja, I'm looking for a cheap single room from Wednesday to Sunday in Hyderabad (in or near Jubilee Hills). I also need a one way ticket there on Wednesday, and I'll be carrying luggage with me. Could you help?	travel
Bus from	travel
Trainer socks available ?	shopping
I need to book tickets	movies
snapdeal pe 7dayd return policy hai jo agar product pasand nahi ayea to return kiya jata hai. amazon pe v hai kya yesa policy?	shopping
Any taxi booking from home to bustand	travel
Book a seat in train for Mumbai from Bhubaneswar	travel
Are unboxed mobiles available on various sites  safe and reliable to buy	shopping
i got a call!.....i thought it show me a notification..with a long beep	reminders
Bengali movie	movies
Hey, can you give me movie show timings for magnificent 7?	movies
Canara bank cdm?	nearby
Can u call me on 8976576500	reminders
Remind me to update the Mobile in adhar card at 11 am tomorrow	reminders
Best hotel is kolhapur	travel
Cab bookings too?	travel
SBI ATM please	nearby
Procedure to stop DND for Vodafone postpaid ?	recharge
Call dnt call	reminders
"Remainder for every Saturday 7:00 am for ""OMAM"""	reminders
Features of lenovo?	shopping
I want to gift	shopping
Any jio store near by?	nearby
Can u find out if kfc is delivering ?	food
I want a gift for my relative on his birth day and his age is 48	shopping
Hmm but book a tatkal tikits	travel
What is fare by indigo in defence quata on 02dec16	travel
How to reach Alliance university by bus	nearby
19115 train no..and 1 ticket	travel
Pawan meeting at Sunday 11 September call me to remember	reminders
What are the rates in grand cinema hall	movies
Train from kochi to tvm	travel
Send me pic with feature for dual sim in Samsung in keypad till at rs 2000	shopping
can yu tel me buses	travel
Pls activate DND on my carrier	reminders
5 oct ko kise train me ticket h	travel
Hi,please book a ticket for me	movies
I want to go for a trip for two days..from guwahati..any good place nearby??	travel
I want to buy iPhone 7	shopping
Can show some deal on casual shoes	shopping
Is there any train from Kachiguda to manchirial today	travel
Best power bank below 500	shopping
2g	recharge
I want it plain from black	shopping
Hie good non veg restaurant in powai	food
In how much u can book a cab for me	travel
What we require for check in for domestic flights	travel
Some mor options in other laptops	shopping
Train ticket for jaipur of dec 8	travel
I want black t-shirt medium	shopping
Leave with the t-shirts	shopping
Can u call??	reminders
Hello can you possible to book ticket for Pune to Thane in Pragati Express AC chair car in Tatkal	travel
How can i book tatkal in heptik??	travel
Tickets for Chandigarh  on 23	travel
Show train times to Madurai from Erode today	travel
Awesome! Please remind me every hour starting 10 am to 8pm	reminders
Pnr status of my ticket please	travel
I want to purchase moto g play from amazon .but i just want to confirmed that there is offer on moto g play is that they are offering ecash of 15000 rs from yatra.com . So can i use this ecash for ticket booking.	shopping
Can I get first or second class ac for 5 members	travel
How about direct flights? Look for me the cheapest ones and that have atleast 40kg baggage allowed.	travel
I checked in adidas with pocket zip	shopping
Hey... it's there any deals running on postpaid bill payments	recharge
I need a flight on 30th nov or 1dec	travel
Cancel the call	reminders
Is there any cheaper flight available	travel
Bati chokha restaurant	food
can vr head set support  on xianomi redmi 3s prime	shopping
I need a flight to goa	travel
is there any lenovo laptop service centre naerby???	support
U can say any restaurant name	food
Deccan queen  2 tickets available from pune to dadar	travel
Wake me up  morning 7	reminders
Whats the best recharge for relince	recharge
Sandals buy	shopping
Show me Orion mall in Bangalore	movies
Timings??	movies
Find me near by dell service centre	nearby
Delight cinema me kon si movie lagi he	movies
Find me a SBI atm	nearby
CAn i get a reminder on 10th sept to take the medicines	reminders
I want to know the min base pack in reliance digital DTH?	recharge
Any plan for Manali trip ?	travel
The package details which u sent me for go a is it for couples or per person	travel
Muzaffarnagar to New Delhi to express train	travel
Can u help me book train ticke	travel
I want to know the nearest pizza in my location	food
Set another meeting reminder	reminders
Any seat availability  in 12370 in totkal  quota on 22-09-16	travel
Location to visit in Goa except beaches and how to reach over there	travel
You got the seat number	travel
Can u suggest me the local buses from secunderabad to turkayamjal	travel
Review of thodari	movies
Need Train schedule for uchahar express my stop is Kanpur	travel
cancel water reminder for now thanks	reminders
Hey, I want to book train tickets.	travel
Of check out and check in	travel
The Oyo room has entry for unmarried couples?	travel
Thermoflask bottle	food
Can I know the fare of Ola cab from anand vihar railway station to Rajdhani Public School Balaji Road Uttam nagar New Delhi ??	travel
I need to book train ticket	travel
Mens shirts any deals	shopping
Call me up till i wake up	reminders
My phone is not working	support
Nearby BMTC bus stop at Mysore road metro station	travel
kindly cancel wakeup alarm at 5.45am	reminders
Hisar to siwani distance in km	travel
Compare moto g3 and redmi note 3 which one is best?	shopping
iPhone 7 in India	shopping
Do I need hard copy of ticket while traveling in flight	travel
I phone 7 features	shopping
Pl gv me more details of iPhone 7	shopping
want an earphone (Bluetooth) budget is 1500	shopping
Wanna buy a college bag	shopping
Give me heplchat recharge coupon code	recharge
Distance from Vadodara to Patna??	travel
Canara Bank e-lounge near me	nearby
Restaurant near my location	food
One more reminder pls	reminders
Is there any phone namely redmi note 1-s	shopping
KFC chicken dikhao	food
Hy reschedule my tomo alarm at 9:30	reminders
I wont fedral bank wala atm	nearby
Nearby HDFC bank	nearby
Hey i need the map route of N4 beach	travel
Pink transparent nail paint	shopping
coffe delivery	food
Can u plz show me some white cool looking tee?	shopping
Maharastriyan food options	food
remind me at 12 o clock also	reminders
The departure time of train no 55616 has changed?	travel
Book ola auto for me	travel
Need to book a flight ticket from Goa to Mumbai on 23rd September	travel
Near by indian bank atm	nearby
call me twice	reminders
nearest pnb atm	nearby
Ltt shalimar express... availability of seats fr. Nagpur	travel
Need plumber	support
Is moto g3 available for less than 10000rs	shopping
Latest bollywood movies list	movies
No I want bra panty	shopping
Train seat ability check	travel
I want i7 processor	shopping
book a cab	travel
Activate dnd on my phone	reminders
Can u tell me the name of bus stops from hinjewadi to hadapsar	travel
Can you help me to book a hotel in Kozhikode?	travel
Any travels in kolli hills for tour	travel
Find healthy food around me	food
Cab from kalka to shimla	travel
Akash pls i dont opt fr any calling chk my reminder list	reminders
Nearby places to my place where I can learn Guitar	nearby
Tata sky recharge I am looking for	recharge
Seat no. And coach no.	travel
Pnb bank atm	nearby
Best on ear headphone under 1000 rupees	shopping
Hi I want an hdcf bank nearby	nearby
Hey, I need to make a table reservation.{task}	food
Hi I want to knw best hair stylist fr men	shopping
Wats the timing of train for garibrath	travel
Sbi plz ..	nearby
Check in palazzo	shopping
I want to buy syska elite 5200 mAh	shopping
18029 train number get be current status..	travel
Is theatre open today	movies
Can you tell me trains from Delhi to sonepat	travel
Suggest for tour plan,reaching BHUBANESWAR on 24th evng 7  oclock. Will return on 26 th noon by 2.30 flight. Want to go konark & puri temples and near by places.	travel
No more reminder please	reminders
When will xiaomi redmi 3s be available online in flipkart	shopping
How far is goa from barnala	travel
I ordered mi redmi 3s prime on flipkart and delivery date is today but the mobile does not come now time	shopping
This flight was not showing in flights	travel
Call me and wake me up in an hour	reminders
Professional courier service near sharavathi nagara	nearby
Can you book tickets for Shatabdi Surat to Borivali tomorrow?	travel
No I don't have any specific time preference but I would like to know flights availability and their fares from Jaipur to hyderabad	travel
You will send me to train ticket was available	travel
Hey can you cancel this reminder	reminders
Sport shoes	shopping
Thankyou but could you just send a message instead of a call	reminders
trains from jagiroad to guwahati on today	travel
Is there any non ac sleeper ?	travel
Can you help me to get huawai service center	support
Is rajdhani available tommorow for udupi to madgaon?	travel
Can i taken alcohol in flight	travel
I need to knw d features of HP pavilion 15 ac 620 tx model	shopping
01706 which train	travel
I want a red color midi skirt	shopping
snd me configuration of i phone 7..	shopping
Remind me after 25 mints	reminders
Train tckt availability for Delhi to Dehradun today	travel
Any Uco bank branch near to me?	nearby
Thank you Shraddha, but not looking for mobiles	shopping
I want a ladies bag (rs. Below 500) at chingavamam	shopping
Atm	nearby
Set a remainder please i always forget to drink	reminders
I want some advice about Samsung guru music 2 mobile phone	shopping
Hi can you find me a ticket to Berlin from Bangalore? Dep Oct 10, Ret oct 19 one ticket	travel
6th october which train is available for bhubaneswar in the morning	travel
Wakeup call today at 9am	reminders
Chicago pizza	food
Tell me best discounts or cashback on postpaid bill payments upto 250	recharge
Bengali film Zulfikar or Hindi film Bahubali 2 kab release karega	movies
Gouthami Train timings	travel
Hiiieee varnikaa cn u plz se a reminder, to call Shadab Raza on 5/10/2016	reminders
Sbi bank nearest	nearby
Give me a treval route frm dehradoon to shimla including d place to visit in btwn	travel
Need to know a bus time-table	travel
Need a cake	food
Chart is prepared?	travel
nearest bajaj service centre	support
Can you please check the flight status for AI672	travel
New movie ticket available in calicut	movies
Train for bareilly to seetapur	travel
I want a birthday gift for my sister	shopping
I just want a wireless router	shopping
Cancel all wake up alarm	reminders
Tell me about the restaurant Bon Appetit.	food
And flight	travel
Meeting at 4	reminders
Train routes	travel
Can u help me in buying a car	shopping
I am looking for a bus from lakhanpur to chandigarh	travel
Remind me to meet Sumanth Anna at 6	reminders
Best hot erotic Hollywood movies	movies
Hey mayank plzzz set my alarm	reminders
I want a gift for my dad	shopping
Where is the nearby bakery ?	nearby
I want to set daily reminder up to the specified date	reminders
Yes i want to buy three mobile phone	shopping
Trains from WJR to MAS	travel
Send ifsc code for city union bank valasarawakkam branch	nearby
Traveling to Goa	travel
I want to buy football boots nike ones for around 5000	shopping
Idea store near my location	nearby
What is the mrp of corona beer in a fl off shop	food
Which movie is releasing on this friday	movies
I want best laptop in around rs30000	shopping
Get me the full details and colours Avail for iPhone 7	shopping
Stationary shop near me	nearby
Can u help me file a complain for ac not working in the train against indian railways	support
Lucknow to gorakhpur train	travel
I'm planning to go in train around 3pm from TIR To MAQ	travel
Just remind me for every hour to take water	reminders
Which phone?????	shopping
Kalyan to pune train	travel
T shirts r boxers	shopping
Okay now stop this alarm	reminders
NewDelhito abroad train details	travel
Tell me the procedure how to book train ticket	travel
Can u plz tell me reliance GSM prepaid 3g plans	recharge
Can i have good veg restaurants in koregoan park	food
Please tell me show timming for saturday with cost in foroum or gopalan	movies
Men's/Women's: Men's	shopping
Nearest pizza spot	food
I m looking for indusind bank atm near my location	nearby
Electrician for Cctv work	support
Pls Check anatapuri express	travel
Nearest atm for	nearby
Yes trichy to karaikal	travel
I want to purchase secret book	shopping
Is there any Standard Chartered atm near me?	nearby
Can I get a copy of route chart and timing of this rajdhani train.	travel
U won't book a cab ?	travel
Candle light dinner option in Banglore	food
Cheapest flight from Bombay to Bhopal on 28 oct	travel
Vijayawada?	travel
What about amazon?	shopping
Book couple of tickets for me for tonight	movies
Why do I keep getting calls for this reminder as well	reminders
Hi look for train ticket availability from Bangalore to Tiruppur coming Saturday	travel
Information about iPhone 7	shopping
JTJ To SBC	travel
Kya app muje domino's pizza burger ka price bta skte hain?	food
Maharashtra Bank	nearby
Kindly find me paytm recharge code promo code	recharge
R search me same movie in telugu lamguage.... The movie name called inkokkadu	movies
Sorry, can you please  tell me the nearest Samsung mobile authorised service center? ?	support
Surat to vapi train after 2	travel
Best data plan for bsnl ?	recharge
What is tarif for idea for std?	recharge
4.45 pm Hyderabad Exp from Chennai. Today	travel
Hi I want to know if ola cabs available tomorrow morning 7am	travel
Can u search for hotels	travel
I have to book rail ticket from chennai to bangalore of 2 September 2016 of chennai bangalore express	travel
Review	movies
Bro plz stop this reminder	reminders
Vans era black in size 5	shopping
Don't reminder me anything	reminders
Nearest hotel	travel
Any food near laxminagar	food
How to change postpaid plan in Reliance GSM?	recharge
Local brand	shopping
Casual	shopping
Is der an hotel in kalyan	travel
What's the price for iphone7plus and 7	shopping
Can you hold a reservation for me?	food
Micromax 707 grey	shopping
How much cost of 2G unlimited bls	recharge
Any non veg resturants near by vijaynagar bangalore	food
Can u please find me the nearest gym to sinhgad college vadgaon	nearby
I want to book mi 3s prime mobile	shopping
X purchase a machinery on higher purchase system. The cash price was Rs 15000.  The payment for the agreement Rs 3000	shopping
I need plumber service	support
Order chiken  rice at 40 rs/plate	food
Call only pls	reminders
Any singapore packages	travel
Best flight deal for Kolkata to Bangalore on 12 th Nov 2016..1 passenger adult.	travel
After some time I'll buy it	shopping
Air india depature in which airport terminal??	travel
Best dinner offers near vijaynagar	food
Sivam theatre	movies
I need shirts for wedding function	shopping
Price of iphone 7 , 128 gb	shopping
Women	shopping
Any offer for dth recharge?	recharge
want to recharge	recharge
Any train from delhi to jalandhar tomorrow after 9	travel
Best rate cutter plans for docomo	recharge
Is there any rajdhani for this route	travel
Is there any show available at 10 a.m. in pvr centra mall chandigarh for any movie??	movies
Iam sending you a picture if a shoe	shopping
Is there any offer on ola cab	travel
book the train ticket as discussed	travel
I wanna buy a guitar	shopping
Hi, show me best deals on mobile phones	shopping
I am planning a weekend trip in nov end with my spouse for our anniversary. Please suggest good packages for places near delhi that are also within my budget.	travel
What are the Best buffet offer at panchkula hotels?	food
Hibremind of Shimla booking on sunday	travel
Nearby Non vej resturent	food
Train no .64211 for today	travel
Hi,  I'm looking for high ankle shoes!!	shopping
Shop	nearby
Any bollywood movie in chennai	movies
Please help how to go from Rewari to bhiwadi	travel
Thodari review	movies
I want to buy a back cover for lenovo a536	shopping
Which restaurant u can suggest as in five star ?	food
Cancel both the Alarms	reminders
Birthday gift ideas?	shopping
Can u book tatkal train tickets	travel
Rajkot to Bombay	travel
Order 1 plate chicken chilly from hot n fresh in Chandighosh road Kolkata 700040	food
Mam like there is GB black dress	shopping
Send me a contact number of fan repair plz	movies
Boss any train udupi to Goa	travel
Can i get the link for this product?	shopping
i want to go mathura ..can you suggest me a good travel option	travel
Blue	shopping
I want names of Ayurveda manufacturer company names	shopping
Banjo ..is at leberty cinemas at new delhi	movies
I would like to know my flight is from terminal 1 or 2	travel
Which film has got oscr	movies
Travell package of Europe	travel
I want best deal on brown boots	shopping
Hey haptik set a reminder for me to submit some money in canara bank for my Emi	reminders
I want buy sim for net which sim has  gud offer	recharge
Show me some off shoulder tops	shopping
Uber Cab for Central Station, Chennai tomorrow	travel
Can u help to find the train status  ?	travel
Plz find reliance store near baghajatin kolkata	nearby
Hey I need tickets for Majnu	movies
Hi can you give me the contact for a plumber in my area	support
Which movie	movies
Hotels	travel
Any direct flight  means Without stop.	travel
Hi could you tell me the schedule of the same train	travel
Nearest HDFC ATM	nearby
Need to order a cake	food
Next month cheapest fare with return  trip	travel
Hey i want  apple 7 details	shopping
Plz show me	reminders
I want hdfc	nearby
Satchel bags	shopping
Hey can you explain the difference in 2nd tire ac and third tire ac?	travel
Hi, remind me on Sunday @12 to attend taimur rehmans class	reminders
Restaurant Name: Dominos	food
Train flight or bus	travel
What are the best restaurants for lunch in Goregaon near Filmcity	food
Wake me	reminders
Hi , can you please look for availability on Nagpur CSTM duronto express on 15.09.2016 ac 2 tier	travel
Can you tell me about flight tickets from delhi to Patna	travel
Hi. Yes I'm am traveling to Dehradun today. Can u suggest me some budget hotels near railway station?	travel
Samsung galaxy s3 how much price	shopping
flight ticket from mumbai to goa on 8 oct	travel
Flier09 xini-x portable bluetooth speaker	shopping
Do you find hdfc bank near	nearby
Xolo era x tempered glasz	shopping
Nearby  Vodafone  store	nearby
I want to recharge my tata sky	recharge
A table tennis playing place.	food
Want infrmtn regarding seat in train frm durg to hzrt nizmddin	travel
Hi, can you provide me with laptop repairing service at home?	support
Can we stop this reminder now	reminders
Can you check train availability from Lucknow to dehradoon on 30sept and 1oct	travel
Hey i want to insurance my lenovo K4note by syska	shopping
Can u guys order food from wow momos for me	food
Hey, I'd like to order a pizza. Is any hotels open today?	food
camera features	shopping
Will the non veg wothib from the silk route be good?	food
Cancel all my reminders	reminders
Seafood restaurant in Trivandrum city	food
Can you check seat availability in train	travel
You didn't remind me to go home	reminders
"I don't think of it, just help to buy the ""rage on"" brand?"	shopping
i want to watch pink movie	movies
Plz show me some mens item on jabong having discount...branded	shopping
Vr compatible mobile phone	shopping
hey reminder of what?	reminders
I want to book flights tickets to Goa for coming saturday	travel
Good area near fort area	food
Split	support
Please check movies in phoenix mall whitefield	movies
Icecream shop	food
Unlimited internet speed would be 4G/3G or 2G?	recharge
Can u once again check for train	travel
Ms dhoni ticket booking	movies
Any mobile phone in the range 7000 with  2 GB RAM AND 16 GB ROM	shopping
Plz track my koolpals shirts shipment  delivery and provide me in 1 0 clock	shopping
Hey can we cancel the shegaon to Ahmednagar tickets of prassana purple	travel
I need my sofa set to get repaired	support
Can you suggest some 4 star hotel in goa on calangute beach road in a budgetof Rs.1.5 lac for 4 rooms for my required dates	travel
Steelbird air helmet	shopping
I've a flight to catch in d mrn	travel
Home delivery near vazhakala	food
Yaa sorry for the late,,i have already booked bus ticket for me..	travel
Wen is pink movie releasing	movies
Hey I was planning to go dubai between 24 th Dec to 1st Jan can you help me with flight and hotel booking	travel
Resturent	food
Menu for Oudh 1590	food
Car pooling to Pune?	travel
Theatres providing tickets below 130rs. For tomorrow's show of pink	movies
GNC sport multivitamin	shopping
Navratri kurtas	shopping
Hey show me some loafers for men at good discount branded	shopping
Can you tell me most convenient way to travel from agra to dharmshala	travel
Customised key chains	shopping
Give me shirt picture	shopping
Hi. Reservation for farzi cafe today for lunch?	food
Any travel package to Leh	travel
Nearby post office	nearby
Yes please Arijit. I need to fix the flush in one of my washrooms, as well as a leak in the tap.	support
Cancel this reminder	reminders
Near by hookah parlour	food
Haldibari from kolkata	travel
Time of return flight bangalore to raipur indigo	travel
Any useful update for iPhone 6s plus	shopping
1 seat	travel
Can u tell me where is kfc chicken	food
I want to have food where can I get home delivery	food
Is there any offer on Tata sky recharge	recharge
Any bus available	travel
Solly for da behaviour	shopping
I need mobile back cover	shopping
Can I book a train ticket here??	travel
Dumbles	shopping
Can u book me a Uber cab	travel
K check in 199rs plan if I choose 2 packs for call and 1 pack for 3g data ?	recharge
What package for kurg  karnataka	travel
Shivneri  booking from pune to aurangabad	travel
Suggest me some mobile cover	shopping
How can i remove or disabled a reminder	reminders
Cancel the reminders	reminders
Find me a nearest SBI atm	nearby
Can you find me the cheapest flight from guwahati to chennai	travel
Cancel the previous every 30 min	reminders
Remind me to take medicine at 11 p.m.	reminders
Call On 9773009456	reminders
What about in Mall of India	movies
Sony experia	support
Hi I want raw chicken to be delivered at my place please suggest vendor	food
Tell me what is the show timing	movies
Show Me	reminders
Hi could you me suggest mobile phone at rs10000	shopping
Wake up alarm on 8th sep at 8 am	reminders
Stock battery	support
How much is the price for iPhone 7 & 7 plus	shopping
Stop the remainder for water	reminders
Set me some reminders please	reminders
Any other brand I would prefer	shopping
Redmi mi note 3	shopping
6E -315 indigo flight from Trivandrum in which terminal	travel
which was the first phone released in india under 10000 rs with 3 gb ram and fingerprint sensor?	shopping
Voltas 1.2	shopping
gray colour	shopping
Shillong on 21st and 22nd October. Can I get double bed rooms for around 2k per night?	travel
Beat Vodafone call rate cutter	recharge
No need of tge reminder	reminders
Please book 2 tickets	movies
Hi can you pls web check in for me	travel
Dell laptop	shopping
Best products for hair smoothing	shopping
Flight to dubai, how much does it costs	travel
Pizza hut	food
How to reach  auli	travel
Please order food frm saffron restaurant	food
u have any train	travel
Do you have any coupons for domino's??	food
Which movies are releasing tomorrow	movies
I'll be happy to buy iPhone 5s 16 GB Space Grey	shopping
Can I get a bus for jamjeer waterfall from junagadh city?	travel
What about HWH ADI EXPRESS	travel
I wanted to cancel a bus ticket	travel
Earphones below Rs 200 ...best quality and long lasting...free home delivery..	shopping
Sleeper or 3rd ac	travel
find the train ladnun to jaipur	travel
How to reach vellore from chennai	travel
Place to visit near by me within 50km.	nearby
Rail  telugu movie review	movies
Any Dominos offers	food
Sai cafe	food
Want to buy carewell royal	shopping
Sbi atm near me	nearby
Can u say wich movies are screened between 12 to 1 pm in fyn cinimas coimbatore	movies
Book that mobile for me	shopping
I want to buy a 2nd hand sports car low price in delhi	shopping
Can u help me I want to fly for delhi on 29 sept	travel
Weekend plan	recharge
Repet alarm	reminders
Remind me to renew my DSC on 25th november 2016	reminders
Mujhe kolkata airtel postpaid data card ka plans bata sakte hai?	recharge
Want to book a train	travel
Go air?	travel
Look for cheaper flights pls	travel
Please tell me a discount coupon code for oyo rooms booking	travel
Hi I need a 3 need package to kerala. Possible?	travel
Full Time Driver	support
Blue flims	movies
Basic mobile phone	shopping
Show me pizza	food
Mobiles	shopping
Send me the current status for the trains	travel
Good cinema hall with reasonable price	movies
Surat train	travel
Hi I Want to buy one Book	shopping
Give me the list of Kannada movies pls	movies
Movie show rajkot	travel
I want know the Flights timings and fare	travel
Spot the train 12721	travel
Afternoon flights	travel
16588 train ka pura sudule btao	travel
Hey I'm interested in buying a second hand Honda activa or dio dated from 2012 or after that..	shopping
Want to book tickets by air	movies
Srs travels ki tkt chaie	travel
Ganeral quota	travel
Obc bank	nearby
Kachpura railway station information	travel
Thank you.. My. Friend. Has. To. Leave for. Airport at 5:30, please wake me up	reminders
Perfumes	shopping
Banglre to delhi trains	travel
Looking for  college bags for girls..  Upto 500!	shopping
Sports shoes in 200 or 250 range size 41 for women	shopping
All cinema hall in patna	movies
Idea mini store near me quick	nearby
Help me buy a sweatshirt , medium black	shopping
I want the menu of Papa John's	food
Any offers on dominos pizza today?	food
Mujhe airtel ke valence chek net chek no. Or airtel ke sabhi no. Send kiJiye	recharge
Can you tell me which movie is on cinepolis in Nirman vihar delhi	movies
What is actual cost of the ticket in Bangalore PVR	movies
I want best kurta shop in ahmedabad	shopping
Utkarsh  bank	nearby
Can you find me a flight from kolkata to kochi direct? ?	travel
Online order possible?	food
Need to have pkg for Switzerland 6n, Austria 4n n UK 5n. Hotels 5 star with transfers n sightseeing. Pls send itinerary with rates	travel
MEDICINE	reminders
I want a reliance jio sim	recharge
Train timings for 17th of dis month for Bijapur from bagalkot	travel
Medium price veg restaurants in electronic city	food
chicken grilled	food
Any carpenter	support
In badaun any ticket	movies
Please book tatkal ticket for friend and I am sent ID now so that get reddy to Ticket	travel
Find me d nearest Wine shop	nearby
Plz check timing of last shivneri AC Volvo from Aurangabad to Pune	travel
5 star Hotel in matheran	travel
Pnr status plz	travel
Texas movie hollowood	travel
Is sully still running in theatres ?	movies
Gionee service center	support
Snd me some ethnic wear long skirts	shopping
Train schedule of Lol Shakti Express 22928 from Ahmedabad to Bandra today	travel
Reminder at 5.30 please	reminders
Any bank of Baroda atm	nearby
Can u also find me the return ticket from cbe to mas on 10 of oct	travel
Name me some .. best mindfuck movies in english	movies
Heart broken	support
Xerox shop	nearby
AC sleeper is good. But can you confirm the bus goes to munnar?	travel
MI service station near me	nearby
Hi could you find me a maruti service centre nearby	nearby
Train from Chennai to vija	travel
Table clock	food
Tomorrow shows in movie time	movies
There is a Malaysian Airways flight from Kuala Lumpur scheduled to land shortly. I m not sure if it's schedule time is 22.45 or 23.45 hours. Possible to tell me which one?	travel
I am at cinepolis	movies
Is uber available fro nizamuddin to noida	travel
Shall i know the rate of trip to manali	travel
Can you book tctkal tckt	movies
Remind me to check amazon refund next Tuesday at 11 am	reminders
Blackberry z10 headset	shopping
12226 kaifiyat exp	travel
Taxi booking	travel
We plan to leave in the morning by 9am and return after lunch by 3pm on 12th	travel
I want to stop the reminder	reminders
find cheapest amount for puma contest lite dp sneaker of black red color in 8 no. size	shopping
Train no. 22687	travel
Hey we are an unmarried couples travelling to pune this weekend. Could you please tell me any hotels	travel
You can stop your reminder from today .	reminders
Cancelled my wake up call	reminders
I want a remainder for doing drawing and handwriting on 3october 5pm	reminders
Give me reminder at 9.10 am today	reminders
Near by pizza zone	food
Can you show shoes in budget 1000	shopping
Intex aqua star HD battery	shopping
plase find me samsung ju6400 55inch tv price	shopping
T-shirt  with collar  and full arm	shopping
Close all my wake up alaram	reminders
The order you placed have placed have not reached yet	food
Is tickets available in konark express?	travel
Do we have suicide squad for Sunday in lido mall bangalore ?	movies
I waana book ms dhoni in big cinema galaxy jaipur	movies
Nearest tatto studio	nearby
Axis Bank at sion??????	nearby
I want coupen codes for Amazon	shopping
Hello Please remind me	reminders
Best deals online for winter wear	shopping
Today train ticket poorwa express train no.12303 date 26/09/16	travel
Tell me to delay indigo flight	travel
A best and cheap restaurant in hyderabad	food
Memoire card 64 GB lowest price	shopping
Book joeys pizza	food
iPhone 7 specifications and price in India	shopping
Samsung service centre	support
Near by Philips service centre	support
cn i knw abt hotel rate	travel
Hey stop the water remainder	reminders
Nearest SSC coaching center	nearby
Hey find me blue dart shop or office or centre nearby	nearby
How can I activate dnd on my no.	reminders
Where can I buy this socks??	shopping
Can I set auto reminders or is it done from your end	reminders
Any axis bank near by me	nearby
No through train reservation	travel
Reebok or adidas	shopping
Book a hotel	travel
I want booked taxi for airport at 2am .	travel
I'm looking for hdfc life branch address in Koramangala	nearby
What is the lowest price of iphone 5 nowadays	shopping
I need paradise biriyani restaurant contact no	food
Hi can you check me a flight from mumbai to vizag on 8 oct.	travel
Bangkok packages	travel
Cab to pune	travel
Find me the nearest atm	nearby
I want to buy ps4	shopping
Want to check status of my order in amazon.in	shopping
Can I Get pizza?	food
I want to book Hotel Royal Inn	travel
Need tickets for Tom if Amritsar  is avilabe  from Mumbai  to Amritsar  .	travel
Remind me to order food at 11.45 am	food
Book it at the buffet table	food
Ok. I want back side cut tops	shopping
Remind me today at 9.55 in the night to watch megha build tv show	reminders
Please set a reminder	reminders
What are the colours that come in iphone7	shopping
Pay cc bill tomorrow at 11 am	reminders
Pizza for home delivery	food
What r the places to visit in goa	travel
I would like to know roaming plans for my docomo network	recharge
I want to go dubai	travel
I want recharge dth	recharge
I want to go khandala	travel
I want to gift myself something cheap, useful and unbreakable but something which i can cherish forever but not clothes. please suggest something.	shopping
Hello I want the train from Jaipur to Agra today plz find it fast	travel
Remind me to call amarkany	reminders
Is any train available from Indore to patna	travel
Could u show men loafers	shopping
Can I get bus for chennai from there	travel
Bus from bilaspur to kangraafter 11 am	travel
Can you please tell from which platform will Nagercoil Exp will leave from CST?	travel
I would like to buy Mahasweta Devi's books in Bengali.	shopping
Hey, can you share the reviews for a movie? Thodari	movies
Kfc offers?	food
I want iru mugam film	movies
Pls look for hotel in Ahmedabad with swimming pool facility	travel
Which are the upcoming Samsung mobiles?	shopping
Hi can u show me causal shoes	shopping
I want plumber	support
Please set my reminder	reminders
Tell me about Lenovo service center in Allahabad	support
Biryani	food
I want jain pav bhaji	food
He'llo I want to stop the reminder	reminders
I need mixer grinder juicer of Richard Morphy	shopping
Teddy bear upto 5ft	shopping
If u place it today when will I get d shoes ??	shopping
Review pls	movies
Sure.. its been raining alot we have postponed the trip	travel
movies in mysore	movies
Icici bank in Dindigul	nearby
No sleeper coaches in that train.?	travel
Pnr status of 8150933042	travel
But that remainder remaind me every 2 hour	reminders
Delhi to Allahabad bus ticket	travel
Pick up n drop service trough cab	travel
Is it possible to make it confirm as mah coach n seat no.	travel
I'm not really ready to watch a movie now. I'll tell when I want to watch	movies
Mujeeb shop	nearby
I am travelling from Vadodra to Somnath. I need to find a hotel in between to freshen up?	travel
Samsung j5 2016	shopping
What is the fare??	travel
I have asked to stop reminder	reminders
Reliance gallary	recharge
